ID,Title,Star,Main,Notes,Company,CAL/SERVING,MIN
580,Jungle curry with pork bok choy and eggplant,6,Pork,,Sunbasket,610,35
3319,Steelhead trout in Shallot-Butter Sauce,6,Trout,Outstanding sauce / ok with salmon,HomeChef,540,35
103,Pork with Bacon braised escarole and charred grapes,5,Pork,,Sunbasket,600,30
301,Steak with artichoke-pepper tapenade and sweet potato fries,5,Steak,,Sunbasket,710,40
3907,Argentine Shrimp Chimichurri,5,Shrimp,"Add to sauce: Garlic powder, 3 oils, pepper, truffle salt",HomeChef,554,40
B01NB0G8W9,Roasted Cod,5,Cod,Add more time to cook beans,Amazon meal kit,,30
2282,Brasserie-style Sirloin Steak,5,Steak,,HomeChef,860,50
592,Steaks with chimichurri and harissa-roasted sweet potatoes,5,Steak,Use fewer potatoes. Follow Ramsey's chimichurri recipe,Sunbasket,620,35
353,Quinoa & White bean salad with arugula blood oranges and mint,5,Vegan,Add oil to quinoa before cooking it,Sunbasket,920,30
349,Grilled shrimp and blood orange-jicama salad with salsa verde,5,Shrimp,add pineapple,Sunbasket,740,45
3365,Chili-Lime Steelhead Trout,5,Steelhead Trout,,HomeChef,566,45
2850,Steak au Poivre,5,Steak,5 star sauce,HomeChef,794,50
562,Chipotle chilaquiles with black beans,5,Vegan,More Cheese and corn and butter,Sunbasket,760,30
3556,Black Pepper Salmon with honey butter and thyme-roasted zucchini and tomatoes,5,Salmon,Cook until zucchini is soft enough and salmon not dry so take out of oven ASAP ,HomeChef,438,45
3693,Truffled Demi-Glace Sirloin Steak,5,Steak,,HomeChef,533,40
310,Yucatan-style shrimp with crispy cassava asado wedges,5,Shrimp,Casava sucked,Sunbasket,720,40
352,Winter citrus salad with harissa-spiced white beans and mint,3,Vegan,,Sunbasket,740,35
317,Chicken arrabbiata with creamy-celery root mash,5,Chicken,,Sunbasket,600,50
2462,Parisian Bistro Steak,5,Steak,6 star potatoes and sauce,HomeChef,617,55
3458,Blue Cheese Smoked Almond and Chive Crusted Pork Chop,5,Pork,,HomeChef,538,50
340,Winter albondigas with shredded cabbage,5,Albondigas,easy on the oil make sure meat is lean,Sunbasket,710,35
3090,Bone-In Pork Chop with Honey Mustard Cream,5,Pork,,HomeChef,726,55
358,Pan-roasted chicken an sweet potatoes with olive-basil sauce,5,Chicken,"Potatoes need more seasoning, excelent combo of olive sauce",Sunbasket,750,40
465,Paneer with Spinach and honney sesame cashews,,Vegan,,Sunbasket,740,35
392,Padang salmon with jade rice,5,Salmon,Save ginger for dressing,Sunbasket,780,30
4088,Cajun Tilapia with Jambalaya Pilaf,5,Fish,Add oil before cooking fish,HomeChef,591,45
476,Pork Loin with Caramelized Onions and Honey-glazed root vegetables,5,Pork,Good buttered onion,Sunbasket,500,35
492,Italian sausages with peppers and parsnip puree,5,Sausage,"Extra butter in hash, toast brocoli and go easy on the spice",Sunbasket,670,40
548,Yakitori chicken meatballs with ginger dipping sauce,5,Chicken,,Sunbasket,610,45
B0713T3BW2,Salmon Nicoise Salad,5,Salmon,,Amazon meal kit,,30
3068,Classic French Green Peppercorn Pork Tenderloin,5,Pork,Awsome sauce,HomeChef,625,35
3263,Crispy Garlic and Lemon Crusted Salmon,5,Salmon,,HomeChef,557,40
3287,Crispy Rice Pork Chop,5,Pork,Cook #5 more time. Gather more cheese and sauce,HomeChef,521,35
3065,Jalapeno Popper-stuffed pork tenderloin,5,Pork,,HomeChef,615,60
3730,Mexican Street Corn Shrimp and Grits,5,Shrimp,,HomeChef,534,35
3692,Pork Chop Chateaubriand,5,Pork,,HomeChef,872,50
3954,Roasted Chicken with Patatas Bravas,5,Chicken,"cook potatoes as instructed, put them in the pot with cold water",HomeChef,592,45
3456,Romesco Pork Tenderloin,5,Pork,,HomeChef,478,40
3827,Sweet Chili Garlic Shrimp,5,Shrimp,Great sauce,HomeChef,552,30
-,Thai red curry,5,Chicken,,Amazon meal kit,,30
565,Summer vegetable paella,5,Vegan,Add Scallops or lobster tails,Sunbasket,720,35
B01M7UUUJ8,Roast Chicken Breast,5,Chicken,,Amazon meal kit,,30
508,Risotto with corn shiitakes and basil,,Vegan,,Sunbasket,720,50
2859,Sirloin Steak with Sauce Robert,"4,5",Steak,5 star sauce,HomeChef,696,40
3683,Buttermilk-Ranch Chicken,"4,5",Chicken,Room for improvement,HomeChef,555,35
3824,Grilled Honey-Mustard Steelhead Trout,"4,5",Trout,"Veggies were good, sparragus not crunchy tho",HomeChef,424,40
107,Moroccan Chicken wings with Carrot and Cashew Slaw,4,Chicken,,Sunbasket,600,45
116,Seared Pork with Endive plums and Caramelized Onions,4,Pork,Joyce loved it,Sunbasket,510,45
123,Chicken hash with sweet potatoes and soft-boiled eggs,4,Chicken,Add corn,Sunbasket,560,50
3733,Bangkok Lemongrass-Basil Shrimp Fried Rice,4,Shrimp,,HomeChef,488,40
343,Salmon with tomato-ginger chutney and cardamom rice,4,Salmon,Add peppercorn and chili powder to the chutney,Sunbasket,690,40
235,Chicken wings barbacoa with salsa verde,4,Chicken,,Sunbasket,730,40
776,Sole piccata with red pepper vinaigrette and baby broccoli,4,Sole,"Broccoli needs more flavor, fish was too capery",Sunbasket,540,30
309,Lamb-beef burgers with pear chutney and roasted cauliflower,4,Lamb,Exclude the lemon rims from the cauliflower,Sunbasket,640,40
3336,Blackened Chicken Caesar Salad,4,Chicken,"Improve salad, challenging to crisp the onion",HomeChef,568,35
